brand,name,yop,price
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
34mm",2023.0,59565.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore
Selfwinding Music Edition 37mm",2023.0,48088.0
Audemars Piguet,"Audemars Piguet Royal Oak Lady
Quartz 33mm",2022.0,72190.0
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
50th Anniversary 37mm",2022.0,61861.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Diver
42mm",2022.0,36956.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
42mm",2022.0,63008.0
Audemars Piguet,"Audemars Piguet Royal Oak Jumbo
""Jumbo"" Extra-thin 39mm",2023.0,101571.0
Audemars Piguet,"Audemars Piguet
Ladies Miniature Wristwatch",1929.0,4109.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
Perpetual Calendar 26209TI.OO.D101CR.01",2013.0,71470.0
Audemars Piguet,"Audemars Piguet [Re]master01
Chronograph in Steel & Gold 26595SR",2020.0,41000.0
Audemars Piguet,"Audemars Piguet Royal Oak Chronograph
Selfwinding Chronograph 41mm | Fullset | AP",2019.0,143462.0
Audemars Piguet,"Audemars Piguet Royal Oak Lady
67650ST.OO.1261ST.01",2023.0,22307.0
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
15551ST.ZZ.1356ST.04",2023.0,60885.0
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
15551ST.ZZ.1356ST.06",2023.0,52093.0
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
15551ST.ZZ.1356ST.05",2023.0,54718.0
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
15551BC.ZZ.1356BC.01",2023.0,165203.0
Audemars Piguet,"Audemars Piguet Royal Oak Selfwinding
15551BC.ZZ.1356BC.02",2023.0,222151.0
Audemars Piguet,"Audemars Piguet Royal Oak Offshore Chronograph
SELFWINDING CHRONOGRAPH",2023.0,85291.0
Audemars Piguet,"Audemars Piguet Code 11.59
BY AUDEMARS PIGUET SELFWINDING",2023.0,31230.0
Audemars Piguet,"Audemars Piguet Code 11.59
BY AUDEMARS PIGUET SELFWINDING",2023.0,29261.0
Audemars Piguet,"Audemars Piguet Royal Oak
Selfinding Blue Edition - 2022 Unworn",2022.0,58500.0
Audemars Piguet,"Audemars Piguet Royal Oak
Ref. ST14790.00.0789.10 Edelstahl Automatik 36 mm",2007.0,36611.0
Audemars Piguet,"Audemars Piguet Royal Oak
56175ST",2007.0,25244.0
